page_num,page_url,viewer_url,title,status
102,https://www.yiqifuwu.com/standard/102.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201019/1603114765281397.pdf,GB/T 38775.4-2020 电动汽车无线充电系统 第4部分：电磁环境限值与测试方法,success
103,https://www.yiqifuwu.com/standard/103.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201019/1603115487207301.pdf,GB/T 38775.2-2020 电动汽车无线充电系统 第2部分：车载充电机和无线充电设备之间的通信协议,success
104,https://www.yiqifuwu.com/standard/104.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201021/1603286993617461.pdf,GB/T 15738-2008 导电和抗静电纤维增强塑料电阻率试验方法,success
105,https://www.yiqifuwu.com/standard/105.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201023/1603411878239274.pdf,GB/T 38898-2020 无损检测 涂层结合强度超声检测方法,success
106,https://www.yiqifuwu.com/standard/106.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20240329/1711669748458361.pdf,JJF 1409-2013表面温度计校准规范,success
107,https://www.yiqifuwu.com/standard/107.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201031/1604119423622912.pdf,GB/T 38911-2020 民用轻小型无人直升机飞行控制系统通用要求,success
108,https://www.yiqifuwu.com/standard/108.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201109/1604916100156180.pdf,GB/T 17627-2019 低压电气设备的高电压试验技术　定义、试验和程序要求、试验设备,success
109,https://www.yiqifuwu.com/standard/109.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201110/1604970136636509.pdf,GB/T 17626.5-2019 电磁兼容　试验和测量技术　浪涌(冲击)抗扰度试验,success
110,https://www.yiqifuwu.com/standard/110.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201219/1608348892133620.pdf,GB/T 14860.1-2012 电子和通信设备用变压器和电感器 第1部分：通用规范,success
111,https://www.yiqifuwu.com/standard/111.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201219/1608367266329954.pdf,GB/T 8554-1998 电子和通信设备用变压器和电感器测量方法及试验程序,success
112,https://www.yiqifuwu.com/standard/112.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201221/1608545953973442.pdf,GB/T 4208-2017 外壳防护等级(IP代码),success
113,https://www.yiqifuwu.com/standard/113.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201221/1608559716882033.pdf,GB/T 39505-2020 家用电理发剪及修发器性能测试方法,success
114,https://www.yiqifuwu.com/standard/114.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20201222/1608596684578082.pdf,GB/T 30427-2013 并网光伏发电专用逆变器技术要求和试验方法,success
115,https://www.yiqifuwu.com/standard/115.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20210118/1610931501850936.pdf,GB/T 20638-2006步进电动机通用技术条件,success
116,https://www.yiqifuwu.com/standard/116.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20210123/1611395956439335.pdf,JJF 1741-2019浪涌(冲击)模拟器校准规范,success
117,https://www.yiqifuwu.com/standard/117.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20210219/1613741530540776.pdf,T CHEAA 0009-2019 电动牙刷,success
118,https://www.yiqifuwu.com/standard/118.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20210220/1613830087308124.pdf,GB/T 39086-2020 电动汽车用电池管理系统功能安全要求及试验方法,success
119,https://www.yiqifuwu.com/standard/119.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20210220/1613830624680042.pdf,GB/T 29332-2012半导体器件　分立器件　第9部分：绝缘栅双极晶体管(IGBT),success
120,https://www.yiqifuwu.com/standard/120.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20231201/1701444392818314.pdf,GB/T 2423.10-2019 环境试验　第2部分：试验方法　试验Fc：振动(正弦),success
121,https://www.yiqifuwu.com/standard/121.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20210825/1629900074972604.pdf,GB/T 16842-2016 外壳对人和设备的防护 检验用试具,success
122,https://www.yiqifuwu.com/standard/122.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20210314/1615731676785569.pdf,GB 4943.1-2011信息技术设备　安全　第1部分：通用要求,success
